node,degree_centrality,pagerank,betweenness_centrality,community_id
Gary Sinise,0.09900990099009901,0.01281304396140665,0.006677920497342377,6
Michael Sheen,0.039603960396039604,0.005813906797045024,0.0,6
Frank Langella,0.039603960396039604,0.005813906797045024,0.0,6
Oliver Platt,0.04950495049504951,0.007096159563019793,0.004087889182209142,6
Danny DeVito,0.0297029702970297,0.005328260645575557,0.0,1
John C. Reilly,0.0297029702970297,0.004343009675430061,0.001982598259825983,1
Ed Harris,0.039603960396039604,0.005465073430329957,0.001154174758135154,3
Bill Paxton,0.10891089108910891,0.01492305502165331,0.017822034401242328,3
Philip Seymour Hoffman,0.04950495049504951,0.007481534359700497,0.0038506350635063506,3
Diane Keaton,0.019801980198019802,0.003591374955125002,0.0,0
Julia Roberts,0.019801980198019802,0.0038065484543872473,0.0,3
Madonna,0.04950495049504951,0.007126053104575671,0.0015709713828525706,3
Geena Davis,0.04950495049504951,0.007126053104575671,0.0015709713828525706,3
Lori Petty,0.04950495049504951,0.007126053104575671,0.0015709713828525706,3
